duongDan,khoangCach
..\file-birdsong\songs\songs\70119-0.wav,6.52373792293365
..\file-birdsong\songs\songs\548703-0.wav,6.550861838907434
..\file-birdsong\songs\songs\73428-0.wav,6.586390567019748
..\file-birdsong\songs\songs\538537-0.wav,6.592361072946526
..\file-birdsong\songs\songs\561356-0.wav,6.604348397682458
..\file-birdsong\songs\songs\58179-0.wav,6.606866887381128
..\file-birdsong\songs\songs\563615-0.wav,6.63458344828746
..\file-birdsong\songs\songs\493448-0.wav,6.635403495599192
..\file-birdsong\songs\songs\468216-0.wav,6.6522923401208605
..\file-birdsong\songs\songs\480224-0.wav,6.668618404853704
..\file-birdsong\songs\songs\499260-0.wav,6.743127305621469
..\file-birdsong\songs\songs\557838-0.wav,6.788052601923327
..\file-birdsong\songs\songs\56157-0.wav,6.873450797825787
..\file-birdsong\songs\songs\474134-0.wav,6.887237280483689
..\file-birdsong\songs\songs\559279-0.wav,6.943704381812266
..\file-birdsong\songs\songs\560427-0.wav,6.963719249597952
..\file-birdsong\songs\songs\479482-0.wav,6.964740892115998
..\file-birdsong\songs\songs\469588-0.wav,6.98301989042029
..\file-birdsong\songs\songs\483878-0.wav,7.001153689954829
..\file-birdsong\songs\songs\469605-0.wav,7.047422202227275
..\file-birdsong\songs\songs\558722-0.wav,7.075144574754937
..\file-birdsong\songs\songs\558225-0.wav,7.0858638580340285
..\file-birdsong\songs\songs\500148-0.wav,7.088524612187294
..\file-birdsong\songs\songs\564545-0.wav,7.146847924457923
..\file-birdsong\songs\songs\467213-0.wav,7.193005083814459
..\file-birdsong\songs\songs\498947-0.wav,7.196632213431445
..\file-birdsong\songs\songs\559014-0.wav,7.23138648526116
..\file-birdsong\songs\songs\542090-0.wav,7.240780763807118
..\file-birdsong\songs\songs\564319-0.wav,7.2465490072208745
..\file-birdsong\songs\songs\483578-0.wav,7.264328083392748
..\file-birdsong\songs\songs\481115-0.wav,7.3711674327033645
..\file-birdsong\songs\songs\72185-0.wav,7.422057290986199
..\file-birdsong\songs\songs\541496-0.wav,7.449523204042728
..\file-birdsong\songs\songs\480068-0.wav,7.624843837745718
..\file-birdsong\songs\songs\490351-0.wav,7.6433331361045065
..\file-birdsong\songs\songs\557140-0.wav,7.704183528560363
..\file-birdsong\songs\songs\556688-0.wav,7.734536155636327
..\file-birdsong\songs\songs\500924-0.wav,7.744389814801469
..\file-birdsong\songs\songs\549222-0.wav,7.7602441684933785
..\file-birdsong\songs\songs\549591-0.wav,7.896995565338551
..\file-birdsong\songs\songs\537326-0.wav,8.007217424751826
..\file-birdsong\songs\songs\562449-0.wav,8.202000968833028
..\file-birdsong\songs\songs\551290-0.wav,8.220250332626723
..\file-birdsong\songs\songs\54652-0.wav,8.233580886427143
..\file-birdsong\songs\songs\559516-0.wav,8.342478784515054
..\file-birdsong\songs\songs\494030-0.wav,8.36547452681796
..\file-birdsong\songs\songs\477785-0.wav,8.377685392677645
..\file-birdsong\songs\songs\537579-0.wav,8.403874987817876
..\file-birdsong\songs\songs\536012-0.wav,8.604948779376242
..\file-birdsong\songs\songs\538122-0.wav,8.618724247870569
..\file-birdsong\songs\songs\539392-0.wav,8.626848010632468
..\file-birdsong\songs\songs\557029-0.wav,8.637855705712283
..\file-birdsong\songs\songs\71208-0.wav,8.751042892649288
..\file-birdsong\songs\songs\544966-0.wav,8.779517513570665
..\file-birdsong\songs\songs\557135-0.wav,8.953312226696008
..\file-birdsong\songs\songs\557836-0.wav,9.093213400210749
..\file-birdsong\songs\songs\469896-0.wav,9.121737922452567
..\file-birdsong\songs\songs\498768-0.wav,9.7480926722522
..\file-birdsong\songs\songs\473437-0.wav,9.785979792253118
..\file-birdsong\songs\songs\56154-0.wav,11.653189299934175
