column_name,mean_value,std_value
zcrMean,0.25010935716847643,0.11435628529149874
specCenMean,3374.1680277700234,1115.3496381344235
specRolloffMean,5502.106884443802,1483.78149071771
mfcc_0_Mean,-391.96098417254905,113.75112725025923
mfcc_1_Mean,28.400715003686273,68.87882121815056
mfcc_2_Mean,-27.626457268552944,41.25771781508754
mfcc_3_Mean,21.026073063411765,30.176573660853276
mfcc_4_Mean,-13.58456210574902,23.8212551870646
mfcc_5_Mean,6.557765224784314,18.329818950012008
mfcc_6_Mean,-3.8903982584862744,14.189116935739591
mfcc_7_Mean,-1.3548978101176472,12.464278231408775
mfcc_8_Mean,-4.254891676666667,11.72618815503976
mfcc_9_Mean,-0.9339028600941176,9.450377861285359
mfcc_10_Mean,-3.827512157,8.64940755531627
mfcc_11_Mean,0.5610992850313724,7.860284052085803
mfcc_12_Mean,-0.23980317104313725,6.500584035678842
chroma_0_Mean,0.45770075239215685,0.13478849073337168
chroma_1_Mean,0.4405181018823529,0.13197759608684423
chroma_2_Mean,0.42422833944705884,0.13059025999731677
chroma_3_Mean,0.418078276145098,0.13526198828573585
chroma_4_Mean,0.41088247175686277,0.1377799916783479
chroma_5_Mean,0.4110836895333333,0.1358556951832411
chroma_6_Mean,0.42008314168627453,0.13561044155266166
chroma_7_Mean,0.43049005479999997,0.12832593277445445
chroma_8_Mean,0.43812513472156867,0.1303714571403537
chroma_9_Mean,0.44686613761960786,0.13396348537582933
chroma_10_Mean,0.4525791602784314,0.13040352823342397
chroma_11_Mean,0.4611860612705883,0.13614347266765314
