duongDan,zcrMean,specCenMean,specRolloffMean,mfcc_0_Mean,mfcc_1_Mean,mfcc_2_Mean,mfcc_3_Mean,mfcc_4_Mean,mfcc_5_Mean,mfcc_6_Mean,mfcc_7_Mean,mfcc_8_Mean,mfcc_9_Mean,mfcc_10_Mean,mfcc_11_Mean,mfcc_12_Mean,chroma_0_Mean,chroma_1_Mean,chroma_2_Mean,chroma_3_Mean,chroma_4_Mean,chroma_5_Mean,chroma_6_Mean,chroma_7_Mean,chroma_8_Mean,chroma_9_Mean,chroma_10_Mean,chroma_11_Mean
..\file-birdsong\songs\songs\xc55184.flac,0.12878041345281308,3000.6672137937144,5192.706531448503,-416.57297,26.45374,17.579798,63.563606,-24.569115,28.653658,10.717231,-2.941506,8.174448,-1.8877485,-2.545341,-2.5144594,4.725838,0.47705027,0.51202,0.5337682,0.5641359,0.55131054,0.5368899,0.5857483,0.5852215,0.47405484,0.5022164,0.45031396,0.423095
..\file-birdsong\songs\songs\xc57919.flac,0.1983387082122093,3161.7882086939253,5999.483046420785,-262.7634,36.833763,-46.898315,-7.547738,-20.466293,-9.24885,-33.985313,-12.06973,-17.256453,-11.385713,-21.61265,-7.8851905,-5.411443,0.5693508,0.458383,0.43808606,0.3803461,0.34801206,0.3063229,0.3451631,0.3793414,0.40641496,0.41047966,0.47903907,0.6076092
..\file-birdsong\songs\songs\xc58571.flac,0.13229237432065216,1895.7133178521683,2761.546025455393,-313.98795,89.71275,-73.00255,-29.862144,-6.08746,11.191897,-12.735458,-12.591836,-7.46722,-6.5031404,-14.15219,-19.724098,-10.419438,0.16188753,0.14596334,0.21278635,0.28371188,0.3110444,0.27799934,0.2566981,0.3126136,0.38796774,0.45928618,0.4841435,0.28810835
..\file-birdsong\songs\songs\xc58573.flac,0.12093476483219774,2073.0634538584764,3768.1357339763335,-384.45865,87.06602,-35.825573,-17.478436,0.63503075,1.977852,-16.871284,-11.963957,-9.053497,-9.207077,-12.042233,-13.638335,-4.194379,0.305877,0.26241177,0.2867293,0.35218507,0.3755362,0.3960829,0.39638066,0.42617446,0.4868772,0.5133992,0.5179797,0.43146592
..\file-birdsong\songs\songs\xc58579.flac,0.15529742688553977,2371.103782413825,4442.4847998066325,-419.5148,74.99381,-37.203754,3.1170237,7.7406554,10.991758,0.9368798,-1.9830871,-3.5732427,-8.417563,-3.946504,-3.7129624,0.48633674,0.39565524,0.40863225,0.39010286,0.3889854,0.4262388,0.46777484,0.4318782,0.38937578,0.37290034,0.3715806,0.3822439,0.377008
..\file-birdsong\songs\songs\xc59776.flac,0.0759219514353759,1477.6682518316877,2406.3576255350476,-390.3537,143.92175,20.339289,4.649478,-8.039867,18.82487,1.5112334,5.10034,2.944857,2.693104,1.3220891,4.882379,1.7973379,0.6145562,0.6386606,0.65858203,0.65785486,0.65068847,0.6572211,0.6454314,0.5783829,0.5672308,0.58655787,0.5865857,0.56378835
..\file-birdsong\songs\songs\xc64685.flac,0.3397858926166966,4022.005460126466,6061.0941094170785,-369.4349,-37.96988,-84.491745,-17.668467,-68.07568,-44.588028,-34.21338,-27.832672,-16.427914,-8.424883,-6.8779345,1.4910715,6.137708,0.43385294,0.4237782,0.38521388,0.4405736,0.46446702,0.37061983,0.4051607,0.39547852,0.38070324,0.4749839,0.545516,0.52198017
..\file-birdsong\songs\songs\xc64686.flac,0.34817416309366755,4147.518342551951,6185.6114530940795,-393.2505,-67.52518,-103.51152,-25.886776,-65.700455,-28.721678,-3.9799712,4.2738037,14.401132,18.066816,14.277468,12.749678,4.7274065,0.44710624,0.38352785,0.38324273,0.39274782,0.39001405,0.3827588,0.39534995,0.43692234,0.3395187,0.35614678,0.41309187,0.45081058
..\file-birdsong\songs\songs\xc64728.flac,0.11064946739268479,2212.223417165305,4655.189182009223,-352.70517,98.67404,-8.818509,-10.908701,-12.817103,2.5053482,-9.92848,-8.297016,-12.328288,-5.2022758,-5.151636,-3.9666808,-3.7439952,0.30025598,0.3051317,0.30015218,0.36335862,0.44225407,0.4735049,0.42834008,0.3911868,0.38356838,0.37623665,0.37427312,0.33169708
..\file-birdsong\songs\songs\xc64735.flac,0.18431778827393341,2523.2824096699774,4366.095942438703,-354.7889,83.529854,-44.07057,23.332336,-12.328957,2.1636074,4.009682,-8.052638,-20.685017,-11.608779,-9.457759,-4.1588387,-1.2036196,0.39115182,0.39239314,0.4539106,0.46211886,0.40458038,0.38645002,0.40766925,0.4363587,0.41891873,0.4191488,0.4643587,0.4566971
